項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号
n,neck-strap-color,i,,, , ,グリーン,-10Grn,0,4,0,0,,
n,neck-strap-color,i,,, , ,グレー,-11Gly,0,0,0,0,,
n,neck-strap-color,i,,, , ,シルバー,-12Slv,0,4,0,0,,
n,nexus-2013-film,i,,,<br>,,グレア,-01Glare,0,55,0,0,,
n,nexus-2013-film,i,,,<br>,,ノングレア,-02Non-Glare,0,272,0,0,,
n,nexus5-2tonecase,i,,, , ,ブラック,-01Blk,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,マゼンタ,-02Mgt,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,オレンジ,-03Org,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,イエロー,-04Ylw,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,パープル,-05Ppl,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,ホワイト,-06Wht,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,スカイブルー,-07Sky,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,ピンク,-08Pnk,0,20,0,0,,
n,nexus5-2tonecase,i,,, , ,ネイビー,09-Nvy,0,20,0,0,,
n,nexus-5-bumper,i,,, , ,ブラック,-01Blk,0,18,0,0,,
n,nexus-5-bumper,i,,, , ,ホワイト,-02Wht,0,14,0,0,,
n,nexus-5-bumper,i,,, , ,レッド,-03Red,0,19,0,0,,
n,nexus-5-bumper,i,,, , ,ピンク,-04Pnk,0,18,0,0,,
n,nexus-5-bumper,i,,, , ,ブルー,-05Blu,0,19,0,0,,
n,nexus-5-bumper,i,,, , ,イエロー,-06Yel,0,4,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,ブラック,-01Blk,0,4,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,ホワイト,-02Wht,0,8,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,レッド,-03Red,0,29,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,ピンク,-04Pnk,0,9,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,ブルー,-05Blu,0,8,0,0,,
n,nexus5-carbon,i,,,ブラックタイプ,-blk,イエロー,-06Yel,0,7,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,ブラック,-01Blk,0,10,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,ホワイト,-02Wht,0,10,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,レッド,-03Red,0,10,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,ピンク,-04Pnk,0,10,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,ブルー,-05Blu,0,9,0,0,,
n,nexus5-carbon,i,,,ホワイトタイプ,-wht,イエロー,-06Yel,0,10,0,0,,
n,nexus5-diary,i,,, , ,ブラック,-01BLK,0,26,0,0,,
n,nexus5-diary,i,,, , ,ライトブラウン,-02LightBRW,0,20,0,0,,
n,nexus5-diary,i,,, , ,ブラウン,-03BRW,0,19,0,0,,
n,nexus5-metalleather,i,,, , ,ブラウン,-01Brw,0,10,0,0,,
n,nexus5-metalleather,i,,, , ,ブラック,-02Blk,0,10,0,0,,
n,nexus5-metalleather,i,,, , ,レッド,-03Red,0,10,0,0,,
n,nexus5-metalleather,i,,, , ,ピンク,-04Pnk,0,10,0,0,,
n,nexus5-metalleather,i,,, , ,ブルー,-05Blu,0,10,0,0,,
n,nexus5-metalleather,i,,, , ,ホワイト,-06Wht,0,10,0,0,,
n,nexus5-screen,i,,, , ,グレア（光沢あり）,-1glare,0,91,0,0,,
n,nexus5-screen,i,,, , ,ノングレア,-2nonglare,0,89,0,0,,
n,nexus5-silicone,i,,, , ,ブラック,-01Blk,0,35,0,0,,
n,nexus5-silicone,i,,, , ,ホワイト,-02Wht,0,36,0,0,,
n,nexus5-silicone,i,,, , ,レッド,-03Red,0,37,0,0,,
n,nexus5-silicone,i,,, , ,ピンク,-04Pnk,0,46,0,0,,
n,nexus5-silicone,i,,, , ,イエロー,-05Ylw,0,35,0,0,,
n,nexus5-silicone,i,,, , ,ブルー,-06Blu,0,39,0,0,,
n,nexus7-2013-leather,i,,,<br>,,ブラック,-01Blk,0,28,0,0,,
n,nexus7-2013-leather,i,,,<br>,,ホワイト,-02Wht,0,14,0,0,,
n,nexus7-2013-leather,i,,,<br>,,レッド,-03Red,0,15,0,0,,
n,nexus7-2013-leather,i,,,<br>,,マゼンタ,-04Mgt,0,10,0,0,,
n,nexus7-2013-leather,i,,,<br>,,ピンク,-05Pnk,0,13,0,0,,
n,nexus7-2013-leather,i,,,<br>,,ブルー,-06Blu,0,11,0,0,,
n,nexus7-2013-leather,i,,,<br>,,グレー,-07Gry,0,9,0,0,,
n,nexus7-2013-leather,i,,,<br>,,ブラウン,-08Brw,0,30,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,ブラック,-01Blk,0,45,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,ホワイト,-02Wht,0,44,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,グリーン,-03Grn,0,19,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,ピンク,-04Pnk,0,46,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,パープル,-05Ppl,0,43,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,ブラウン,-06Brw,0,35,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,ネイビー,-07Nvy,0,49,0,0,,
n,nexus7-2013-smt-case,i,,,<br>,,マゼンタ,-08Mgt,0,40,0,0,,
n,nexus7-cover-360,i,,,<br>,,ブラック,-black,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,ブラウン,-brawn,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,グリーン,-green,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,マゼンタ,-magenta,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,ネイビー,-navy,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,オレンジ,-orange,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,ピンク,-pink,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,パープル,-purple,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,レッド,-red,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,スカイブルー,-skyblue,0,0,0,0,,
n,nexus7-cover-360,i,,,<br>,,ホワイト,-white,0,0,0,0,,
n,nexus-film,i,,,<br>,,グレア,-glare,0,775,0,0,,
n,nexus-film,i,,,<br>,,ノングレア,-non-glare,0,181,0,0,,
n,paperwhite-2013-screen,i,,, , ,グレア,-01Glare,0,0,0,0,,
n,paperwhite-2013-screen,i,,, , ,ノングレア,-02Non-glare,0,0,0,0,,
n,portable-led-battery,i,,, , ,ブラック,-1-blk,0,13,0,0,,
n,portable-led-battery,i,,, , ,オレンジ,-2-org,0,0,0,0,,
n,portable-led-battery,i,,, , ,ホワイト,-3-wht,0,9,0,0,,
n,portable-led-battery,i,,, , ,ピンク,-4-pnk,0,20,0,0,,
n,portable-led-battery,i,,, , ,グリーン,-5-grn,0,24,0,0,,
n,portable-led-battery,i,,, , ,ブルー,-6-blue,0,9,0,0,,
n,portable-led-battery,i,,, , ,レッド,-7-red,0,14,0,0,,
n,portable-led-battery,i,,, , ,イエロー,-8-yel,0,60,0,0,,
n,silicone-analog,i,,,<br>,,ブラック,-1-blk,0,54,0,0,,
n,silicone-analog,i,,,<br>,,パープル,-2-ppl,0,105,0,0,,
n,silicone-analog,i,,,<br>,,グリーン,-3-grn,0,112,0,0,,
n,silicone-analog,i,,,<br>,,パッションピンク,-4-ppnk,0,99,0,0,,
n,silicone-analog,i,,,<br>,,ホワイト,-5-wht,0,75,0,0,,
n,silicone-analog,i,,,<br>,,ブルー,-6-blue,0,54,0,0,,
n,silicone-analog,i,,,<br>,,オレンジ,-7-org,0,89,0,0,,
n,silicone-analog,i,,,<br>,,イエロー,-8-yel,0,13,0,0,,
n,silicone-degital,i,,,<br>,,レッド,-1-red,0,94,0,0,,
n,silicone-degital,i,,,<br>,,グレープ,-2-grp,0,91,0,0,,
n,silicone-degital,i,,,<br>,,ブルー,-3-blue,0,55,0,0,,
n,silicone-degital,i,,,<br>,,ライム,-4-lime,0,64,0,0,,
n,silicone-degital,i,,,<br>,,オレンジ,-5-org,0,196,0,0,,
n,silicone-degital,i,,,<br>,,ホワイト,-6-wht,0,60,0,0,,
n,silicone-degital,i,,,<br>,,ブラック,-7-blk,0,44,0,0,,
n,silicone-degital,i,,,<br>,,パープル,-8-ppl,0,71,0,0,,
n,silicone-degital,i,,,<br>,,アプリコット,-9-apr,0,0,0,0,,
n,silicone-degital,i,,,<br>,,ダークブルー,-10-dark,0,56,0,0,,
n,silicone-degital,i,,,<br>,,イエロー,-11-yel,0,159,0,0,,
n,silicone-degital,i,,,<br>,,ネオンピンク,-12-npnk,0,85,0,0,,
n,silicone-degital,i,,,<br>,,ネオンオレンジ,-13-norg,0,85,0,0,,
n,silicone-degital,i,,,<br>,,ラベンダー,-14-rav,0,103,0,0,,
n,skatebord-pennytype,i,,, , ,グリーン,-9-grn,0,28,0,0,,
n,skatebord-pennytype,i,,, , ,パープル,-1-ppl,0,18,0,0,,
n,skatebord-pennytype,i,,, , ,レッド,-2-red,0,23,0,0,,
n,skatebord-pennytype,i,,, , ,ピンク,-10-pnk,0,32,0,0,,
n,skatebord-pennytype,i,,, , ,ホワイト,-4-wht,0,13,0,0,,
n,skatebord-pennytype,i,,, , ,ブラック,-5-blk,0,3,0,0,,
n,skatebord-pennytype,i,,, , ,ブルー,-6-blue,0,34,0,0,,
n,skatebord-pennytype,i,,, , ,イエロー,-7-yel,0,4,0,0,,
n,skatebord-pennytype,i,,, , ,オレンジ,-8-org,0,24,0,0,,
n,sp-glove,i,,,Mサイズ,01M,,,0,19,0,0,,
n,sp-glove,i,,,Lサイズ,02L,,,0,18,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,ホワイト,-01white,0,109,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,ブラック,-02black,0,91,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,スカイブルー,-03skyblue,0,154,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,オレンジ,-04orange,0,1,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,レッド,-05red,0,105,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,イエロー,-06yellow,0,33,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,マゼンタ,-07magenta,0,70,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,ピンク,-08pink,0,89,0,0,,
n,smilecable,i,,,iPhone5用,-iPhone5,グリーン,-09green,0,28,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,ホワイト,-01white,0,18,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,ブラック,-02black,0,19,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,スカイブルー,-03skyblue,0,0,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,オレンジ,-04orange,0,0,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,レッド,-05red,0,57,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,イエロー,-06yellow,0,0,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,マゼンタ,-07magenta,0,26,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,ピンク,-08pink,0,32,0,0,,
n,smilecable,i,,,iPhone4用,-iPhone4,グリーン,-09green,0,0,0,0,,
n,smilecable,i,,,microusb用,-microusb,ホワイト,-01white,0,62,0,0,,
n,smilecable,i,,,microusb用,-microusb,ブラック,-02black,0,49,0,0,,
n,smilecable,i,,,microusb用,-microusb,スカイブルー,-03skyblue,0,43,0,0,,
n,smilecable,i,,,microusb用,-microusb,オレンジ,-04orange,0,21,0,0,,
n,smilecable,i,,,microusb用,-microusb,レッド,-05red,0,51,0,0,,
n,smilecable,i,,,microusb用,-microusb,イエロー,-06yellow,0,40,0,0,,
n,smilecable,i,,,microusb用,-microusb,マゼンタ,-07magenta,0,4,0,0,,
n,smilecable,i,,,microusb用,-microusb,ピンク,-08pink,0,41,0,0,,
n,smilecable,i,,,microusb用,-microusb,グリーン,-09green,0,36,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,ブラック,-01Blk,0,104,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,ブルー,-02Blu,0,82,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,ホワイト,-03Wht,0,82,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,レッド,-04Red,0,83,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,ピンク,-05Pnk,0,85,0,0,,
n,smratphone-arm,i,,,iPhone5S/5C,-IPHN,シルバー,-06Slv,0,47,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,ブラック,-01Blk,0,61,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,ブルー,-02Blu,0,37,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,ホワイト,-03Wht,0,39,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,レッド,-04Red,0,36,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,ピンク,-05Pnk,0,40,0,0,,
n,smratphone-arm,i,,,5インチ/Galaxy/Xperia,-5in,シルバー,-06Slv,0,50,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,ブラック,-01Blk,0,29,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,ブルー,-02Blu,0,19,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,ホワイト,-03Wht,0,19,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,レッド,-04Red,0,18,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,ピンク,-05Pnk,0,19,0,0,,
n,smratphone-arm,i,,,iPodナノ,-Nano,シルバー,-06Slv,0,49,0,0,,
n,usb2port,i,,,<br>,,ブラック,-1-blk,0,186,0,0,,
n,usb2port,i,,,<br>,,ホワイト,-2-wht,0,179,0,0,,
n,usb2port,i,,,<br>,,レッド,-3-red,0,181,0,0,,
n,usb2port,i,,,<br>,,グリーン,-5-grn,0,203,0,0,,
n,usb2port,i,,,<br>,,ブルー,-6-blu,0,185,0,0,,
n,usb3in1,i,,,<br>,,ブラック,-1-blk,0,0,0,0,,
n,usb3in1,i,,,<br>,,ホワイト,-2-wht,0,11,0,0,,
n,usb-wristband,i,,,<br>,,ゼブラ,-zebra,0,0,0,0,,
n,usb-wristband,i,,,<br>,,ドット,-dot,0,0,0,0,,
n,usb-wristband,i,,,<br>,,キリン,-giraffe,0,4,0,0,,
n,usb-wristband,i,,,<br>,,ボーダー,-border,0,3,0,0,,
n,usb-wristband,i,,,<br>,,クロコダイル,-crocodile,0,0,0,0,,
n,usb-wristband,i,,,<br>,,レオパード,-zebra-leopard,0,0,0,0,,
n,usb-wristband,i,,,<br>,,ブルー,-blue,0,19,0,0,,
n,usb-wristband,i,,,<br>,,ピンク,-pink,0,22,0,0,,
n,usb-wristband,i,,,<br>,,グリーン,-green,0,24,0,0,,
n,xperia-a-flower,i,,, , ,レッド,-01Red,0,634,0,0,,
n,xperia-a-flower,i,,, , ,ピンク,-02Pnk,0,537,0,0,,
n,xperia-a-flower,i,,, , ,ブラック,-03Blk,0,398,0,0,,
n,xperia-a-flower,i,,, , ,ホワイト,-04Wht,0,391,0,0,,
n,xperia-a-flower,i,,, , ,ミント,-05Mnt,0,421,0,0,,
n,xperia-a-flower,i,,, , ,レッドパープル,-06Red-Pur,0,407,0,0,,
n,xperia-a-flower,i,,, , ,ブラックレッド,-07Blk-Red,0,473,0,0,,
n,xperia-a-flower,i,,, , ,マルチカラー,-08Multi,0,440,0,0,,
n,xperia-a-flower,i,,, , ,スカイブルー,-09Sky-Blu,0,591,0,0,,
n,xperia-flower,i,,, , ,レッド,-01Red,0,185,0,0,,
n,xperia-flower,i,,, , ,ピンク,-02Pnk,0,9,0,0,,
n,xperia-flower,i,,, , ,ブラック,-03Blk,0,290,0,0,,
n,xperia-flower,i,,, , ,ミント,-04Mnt,0,255,0,0,,
n,xperia-flower,i,,, , ,ホワイト,-05Wht,0,2,0,0,,
n,xperia-flower,i,,, , ,レッドパープル,-06Red-Pur,0,164,0,0,,
n,xperia-flower,i,,, , ,マルチカラー,-07Malti,0,137,0,0,,
n,xperia-flower,i,,, , ,スカイブルー,-08Sky-Blu,0,158,0,0,,
n,xperia-flower,i,,, , ,ブラックレッド,-09Blk-Red,0,151,0,0,,
n,xperiart,i,,,<br>,,いいね/LIKE,-01LIKE,0,50,0,0,,
n,xperiart,i,,,<br>,,ロゴTシャツ,-02rogoT,0,50,0,0,,
n,xperiart,i,,,<br>,,Evolution/Ver2,-03Evo,0,99,0,0,,
n,xperiart,i,,,<br>,,ロボット,-04Robot,0,100,0,0,,
n,xperiart,i,,,<br>,,ネコ/CAT,-05Cat,0,100,0,0,,
n,xperiart,i,,,<br>,,土下座,-06Sorry,0,100,0,0,,
n,xperiart,i,,,<br>,,スノーボード,-07Board,0,100,0,0,,
n,xperiart,i,,,<br>,,ブレイクダンス,-08Dance,0,100,0,0,,
n,xperiart,i,,,<br>,,DJ,-09DJ,0,100,0,0,,
n,xperiart,i,,,<br>,,NYC,-10NYC,0,0,0,0,,
n,xperiart,i,,,<br>,,パンプキン,-11Pumpkin,0,100,0,0,,
n,xperiart,i,,,<br>,,チェリー,-12Cherry,0,100,0,0,,
n,xperiart,i,,,<br>,,パイン,-13Pine,0,100,0,0,,
n,xperiart,i,,,<br>,,A型,-14type-A,0,50,0,0,,
n,xperiart,i,,,<br>,,B型,-15type-B,0,50,0,0,,
n,xperiart,i,,,<br>,,O型,-16type-O,0,50,0,0,,
n,xperiart,i,,,<br>,,AB型,-17type-AB,0,50,0,0,,
n,xperiart,i,,,<br>,,G型,-18type-G,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：A,-1-A,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：C,-02-C,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：D,-3-D,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：E,-4-E,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：F,-5-F,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：G,-6-G,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：H,-7-h,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：I,-8-I,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：J,-9-J,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：K,-10-K,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：M,-11-m,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：N,-12-N,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：O,-13-O,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：R,-14-R,0,49,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：S,-15-s,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：T,-16-T,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：U,-17-u,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：W,-18-W,0,50,0,0,,
n,xperiart-initial,i,,,<br>,,イニシャル：Y,-17-Y,0,50,0,0,,
n,xperia-ul-flower,i,,, , ,レッド,-01Red,0,168,0,0,,
n,xperia-ul-flower,i,,, , ,ピンク,-02Pnk,0,140,0,0,,
n,xperia-ul-flower,i,,, , ,ブラック,-03Blk,0,182,0,0,,
n,xperia-ul-flower,i,,, , ,ホワイト,-04Wht,0,151,0,0,,
n,xperia-ul-flower,i,,, , ,ミント,-05Mnt,0,135,0,0,,
n,xperia-ul-flower,i,,, , ,レッドパープル,-06Red-Pur,0,185,0,0,,
n,xperia-ul-flower,i,,, , ,ブラックレッド,-07Blk-Red,0,31,0,0,,
n,xperia-ul-flower,i,,, , ,マルチカラー,-08Multi,0,0,0,0,,
n,xperia-ul-flower,i,,, , ,スカイブルー,-09Sky-Blu,0,64,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,ブラック,-01Blk,0,13,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,ホワイト,-02Wht,0,19,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,レッド,-03Red,0,18,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,ピンク,-04Pnk,0,18,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,イエロー,-05Ylw,0,14,0,0,,
n,xperia-z1-2torn-bum,i,,, , ,ブルー,-06Blu,0,19,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ブラック,-01Blk,0,27,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ホワイト,-02Wht,0,18,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ピンク,-03Pnk,0,18,0,0,,
n,xperia-z1-bumpercase,i,,, , ,マゼンタ,-04Mgt,0,26,0,0,,
n,xperia-z1-bumpercase,i,,, , ,スカイブルー,-05Sky-Blu,0,19,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ターコイズ,-06Tur,0,15,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ラベンダー,-07lav,0,16,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ライトグリーン,-08L-grn,0,17,0,0,,
n,xperia-z1-bumpercase,i,,, , ,クリーム,-09Crm,0,18,0,0,,
n,xperia-z1-bumpercase,i,,, , ,ライム,-10Lim,0,11,0,0,,
n,xperia-z1-crocodile,i,,, , ,ブラック,-01Blk,0,0,0,0,,
n,xperia-z1-crocodile,i,,, , ,ホワイト,-02Wht,0,20,0,0,,
n,xperia-z1-crocodile,i,,, , ,レッド,-03Red,0,0,0,0,,
n,xperia-z1-crocodile,i,,, , ,ピンク,-04Pnk,0,16,0,0,,
n,xperia-z1-crocodile,i,,, , ,マゼンタ,-05Mgt,0,19,0,0,,
n,xperia-z1-diary,i,,, , ,ブラウン,-01Brw,0,13,0,0,,
n,xperia-z1-diary,i,,, , ,ピンク,-02Pnk,0,0,0,0,,
n,xperia-z1f-bumper,i,,, , ,ホワイト,-01Wht,0,18,0,0,,
n,xperia-z1f-bumper,i,,, , ,イエロー,-02Ylw,0,19,0,0,,
n,xperia-z1f-bumper,i,,, , ,ブラック,-03Blk,0,19,0,0,,
n,xperia-z1f-bumper,i,,, , ,レッド,-04Red,0,18,0,0,,
n,xperia-z1f-bumper,i,,, , ,ピンク,-05Pnk,0,19,0,0,,
n,xperia-z1f-bumper,i,,, , ,ブルー,-06Blu,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,ブラック,-01Blk,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,ピンク,-02Pnk,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,レッド,-03Red,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,イエロー,-04Ylw,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,ブルー,-05Blu,0,20,0,0,,
n,xperia-z1f-carbon,i,,, , ,ホワイト,-06Wht,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,ブラック,-01Blk,0,17,0,0,,
n,xperia-z1f-diary,i,,, , ,ホワイト,-02Wht,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,ブラウン,-03Brw,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,マゼンタ,-04Mgt,0,19,0,0,,
n,xperia-z1f-diary,i,,, , ,レッド,-05Red,0,19,0,0,,
n,xperia-z1f-diary,i,,, , ,ブルー,-06Blu,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,パープル,-07Ppl,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,ピンク,-08Pbk,0,20,0,0,,
n,xperia-z1f-diary,i,,, , ,グリーン,09-Grn,0,20,0,0,,
n,xperia-z1f-hardcase,i,,, , ,ブラック,-01Blk,0,10,0,0,,
n,xperia-z1f-hardcase,i,,, , ,グリーン,-02Grn,0,10,0,0,,
n,xperia-z1f-hardcase,i,,, , ,レッド,-03Red,0,10,0,0,,
n,xperia-z1f-hardcase,i,,, , ,パープル,-04Ppl,0,0,0,0,,
n,xperia-z1f-hardcase,i,,, , ,ブルー,-05Blu,0,10,0,0,,
n,xperia-z1-flower,i,,, , ,ブラック,-01Blk,0,94,0,0,,
n,xperia-z1-flower,i,,, , ,ホワイト,-02Wht,0,300,0,0,,
n,xperia-z1-flower,i,,, , ,レッド,-03Red,0,298,0,0,,
n,xperia-z1-flower,i,,, , ,ピンク,-04Pnk,0,299,0,0,,
n,xperia-z1-flower,i,,, , ,ミント,-05Mnt,0,277,0,0,,
n,xperia-z1-flower,i,,, , ,レッドパープル,-06Red-Pur,0,300,0,0,,
n,xperia-z1-flower,i,,, , ,ブラックレッド,-07Blk-Red,0,298,0,0,,
n,xperia-z1-flower,i,,, , ,マルチカラー,-08Multi,0,299,0,0,,
n,xperia-z1f-mercury,i,,, , ,ブラック/ブラック,-01Blk-Blk,0,9,0,0,,
n,xperia-z1f-mercury,i,,, , ,ブラック/ブラウン,-02Blk-Brw,0,10,0,0,,
n,xperia-z1f-mercury,i,,, , ,ネイビー/グリーン,-03Nvy-Grn,0,10,0,0,,
n,xperia-z1f-mercury,i,,, , ,ピンク/マゼンタ,-04Pnk-Mgt,0,8,0,0,,
n,xperia-z1f-mercury,i,,, , ,マゼンタ/ピンク,-05Mgt-Pnk,0,10,0,0,,
n,xperia-z1f-mercury,i,,, , ,レッド/ネイビー,-06Red-Nvy,0,10,0,0,,
n,xperia-z1f-screen,i,,, , ,グレア（ツヤあり）,-01Glare,0,200,0,0,,
n,xperia-z1f-screen,i,,, , ,ノングレア（マット）,-02Mat,0,200,0,0,,
n,xperia-z1f-screen,i,,, , ,ミラー（鏡面）,-03Mir,0,99,0,0,,
n,xperia-z1f-tpucase,i,,, , ,ホワイト,-01Wht,0,20,0,0,,
n,xperia-z1f-tpucase,i,,, , ,ブラック,-02Blk,0,20,0,0,,
n,xperia-z1f-tpucase,i,,, , ,レッド,-03Red,0,20,0,0,,
n,xperia-z1f-tpucase,i,,, , ,ブルー,-04Blu,0,20,0,0,,
n,xperia-z1f-tpucase,i,,, , ,イエロー,-05Ylw,0,20,0,0,,
n,xperia-z1f-tpucase,i,,, , ,ピンク,-06Pnk,0,20,0,0,,
n,xperia-z1-hard-book,i,,, , ,ブラック,-01Blk,0,19,0,0,,
n,xperia-z1-hard-book,i,,, , ,ブラウン,-02Brw,0,19,0,0,,
n,xperia-z1-hard-book,i,,, , ,ピンク,-03Pnk,0,4,0,0,,
n,xperia-z1-hard-book,i,,, , ,ブルー,-04Blu,0,9,0,0,,
n,xperia-z1-metalbumper,i,,, , ,ブラック,-01Blk,0,7,0,0,,
n,xperia-z1-metalbumper,i,,, , ,レッド,-02Red,0,3,0,0,,
