コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,モバイル表示,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,あす楽配送管理番号,サイズ表リンク
n,alumi-bottun,alumi-bottun,560274,,可愛い!オシャレなアルミニウムボタン,可愛い!オシャレなアルミニウムボタン,アルミニウムホームボタン　アップル iPhone5/5c  iPhone4 iPad アイフォン　アイパッド,191,,0,0,,,,0,0,1,1,0,1,0,1,0,"ホームボタンに張るだけで、あなたのスマートフォンを可愛くオシャレに♪<br>
シールタイプなのでその日の気分でiPhoneをカスタマイズできます!!
","ホームボタンに張るだけで、あなたのスマートフォンを可愛くオシャレに♪
シールタイプなのでその日の気分でiPhoneをカスタマイズできます!!","<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun01.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun02.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun03.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<table width=""100%"" border=""1"" cellspacing=""1"" cellpadding=""5"">
  <tr>
    <th>商品説明</th>
    <td><p>ホームボタンに張るだけで、あなたのスマートフォンを可愛くオシャレに♪<br>
シールタイプなのでその日の気分でiphoneをカスタマイズできます!!

    </p></td>
  </tr>
<tr>
    <th>カラー</th>
    <td><p>スクウェア/パワー/アップル/ドクロ/シリ/リボン 各一色<br>ブルー<br>レッド<br>グレー<br>ブラック<br>シルバー<br></p></td>
  </tr>
</table>
<br>
","<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun01.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun02.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun03.jpg"" alt=""アルミニウムホームボタン"" width=""100%""><br>
<table width=""100%"" border=""1"" cellspacing=""1"" cellpadding=""5"">
  <tr>
    <th>商品説明</th>
    <td><p>ホームボタンに張るだけで、あなたのスマートフォンを可愛くオシャレに♪<br>
シールタイプなのでその日の気分でiphoneをカスタマイズできます!!

    </p></td>
  </tr>
<tr>
    <th>カラー</th>
    <td><p>スクウェア/パワー/アップル/ドクロ/シリ/リボン 各一色<br>ブルー<br>レッド<br>グレー<br>ブラック<br>シルバー<br></p></td>
  </tr>
</table>
<br>
",http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun01.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun02.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/alumi-bottun03.jpg,アルミニウムホームボタンアップルiPhone5/5ciPhone4iPadアイフォンアイパッド アルミニウムホームボタンアップルiPhone5/5ciPhone4iPadアイフォンアイパッド アルミニウムホームボタンアップルiPhone5/5ciPhone4iPadアイフォンアイパッド,,,-1,2,,,ロゴ,カラー,0,283458-0010000702,0,,,,,,,,,,自動選択,自動選択,自動選択,自動選択,自動選択,2,,
n,appleplus2nd,appleplus2nd,555430,,【即納】【送料無料】見た目はそのまま！ 遊び心にとんだiPhoneケース iPhone5 ケース<br>,見た目はそのまま！ 遊び心にとんだiPhoneケース iPhone5 ケース,iPhone5S iPhone5 ケース iPhone4s ケース iPhone4 ケース アップルプラス apple plus スマートフォン iPhone5 iPhone5sケース itattoo　風　クリアケース,1600,,0,0,,,,0,0,1,1,0,1,0,1,0,"iPhoneのデザインそのままに衝撃・キズから守る！
遊び心にあふれるiPhone5/4sケース <br>
    <br>
    ※ Apple iPhone 5/4本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    <br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
    <br>
    ＜素材＞ポリカーボネイト


<br>
<br>
","iPhoneのデザインそのままに衝撃・キズから守る！
遊び心にあふれるiPhone5/4sケース <br>
    <br>
    ※ Apple iPhone 5/4本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    <br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
※こちらの商品は手作業にて製作している為若干のズレ・差異がございます。<br>
※アップルロゴとデザイン部分のカラーに多少の差異がございます。<br>
<br>
以上、ご理解の程よろしくお願いします。<br>
    <br>
    ＜素材＞ポリカーボネイト","iphoneのデザインそのままに衝撃・キズから守る！
遊び心にあふれるiphone5/4sケース <br>
    <br>
    ※ apple iphone 5/4本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    <br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
※こちらの商品は手作業にて製作している為若干のズレ・差異がございます。<br>
※アップルロゴとデザイン部分のカラーに多少の差異がございます。<br>
<br>
以上、ご理解の程よろしくお願いします。<br>
    <br>
    ＜素材＞ポリカーボネイト

<table width=""95%"" border=""0"" cellspacing=""1"" cellpadding=""10"" bgcolor=""#999999"">
  <tr>
    <td align=""center"" bgcolor=""#ffffff""><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/iphone_appleplus/"">他のデザインはこちら</a></td>
  </tr>
</table>


<table width=""95%"" border=""0"" cellspacing=""1"" cellpadding=""10"" bgcolor=""#999999"">
  <tr>
    <td align=""center"" bgcolor=""#ffffff""><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/c/0000000133/"">iphone5cケースはこちら</a></td>
  </tr>
</table>
","iphoneのデザインそのままに衝撃・キズから守る！
遊び心にあふれるiphone5/4sケース <br>
    <br>
    ※ apple iphone 5/4本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    <br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
※こちらの商品は手作業にて製作している為若干のズレ・差異がございます。<br>
※アップルロゴとデザイン部分のカラーに多少の差異がございます。<br>
<br>
以上、ご理解の程よろしくお願いします。<br>
    <br>
    ＜素材＞ポリカーボネイト

<table width=""95%"" border=""0"" cellspacing=""1"" cellpadding=""10"" bgcolor=""#999999"">
  <tr>
    <td align=""center"" bgcolor=""#ffffff""><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/iphone_appleplus/"">他のデザインはこちら</a></td>
  </tr>
</table>


<table width=""95%"" border=""0"" cellspacing=""1"" cellpadding=""10"" bgcolor=""#999999"">
  <tr>
    <td align=""center"" bgcolor=""#ffffff""><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/c/0000000133/"">iphone5cケースはこちら</a></td>
  </tr>
</table>
",http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/appleplus2nd01.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/appleplus2nd02.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/appleplus2nd03.jpg,iPhone5iPhone5sケースiPhone4sケースiPhone4ケースアップルプラスappleplusスマートフォンiPhone5iPhone5sケースitattoo風クリアケース iPhone5iPhone5sケースiPhone4sケースiPhone4ケースアップルプラスappleplusスマートフォンiPhone5iPhone5sケースitattoo風クリアケース iPhone5iPhone5sケースiPhone4sケースiPhone4ケースアップルプラスappleplusスマートフォンiPhone5iPhone5sケースitattoo風クリアケース,,,5,2,,,機種,デザイン,0,283458-0010000830,0,,,,,,,,,,自動選択,自動選択,自動選択,自動選択,自動選択,2,,
n,aquos-zeta-flower,aquos-zeta-flower,560272,,花を摘んだAQUOS PHONE ZETA SH-06Eケース　,小さなケシの花を摘んだAQUOS PHONE ZETAケース　,AQUOS PHONE ZETA SH-06E ケース  アクオスフォン　花柄　フラワー　docomo ドコモ  phone cover スマートフォンケース　スマホケース 人気　aquos,1219,,0,0,,,,0,1,1,1,0,1,0,1,0,"  スマートフォン AQUOS PHONE ZETA SH-06E用フラワーケース<br>
    カラー：レッド　ピンク ホワイト　ミント　レッドパープル　ブラック/レッド　マルチカラー　スカイブルー<br>

    小さな花を摘んだ可愛い花柄ケース。<br>

    ※ AQUOS PHONE ZETA SH-06E本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>","  スマートフォン AQUOS PHONE ZETA SH-06E用フラワーケース<br>
    カラー：レッド　ピンク ホワイト　ミント　レッドパープル　ブラック/レッド　マルチカラー　スカイブルー<br>

    小さな花を摘んだ可愛い花柄ケース。<br>

    ※ AQUOS PHONE ZETA SH-06E本体は含まれておりません。
    <br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>","<br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower01.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower02.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower03.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
  <table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"">
  <tr><td>商品説明</td>
    <td><p>aquos phone zeta sh-06e フラワーケース</p><br>

    小さな花を摘んだ可愛い花柄ケース。<br>

    ※ aquos phone zeta sh-06e本体は含まれておりません。
    <br><br>
こちらの商品はプリントの過程で小さなスレや印刷のムラ
ケースの中身にまで塗料が入りこんでしまっている場合があります。<br>
使用には問題ございませんので悪しからずご了承ください。<br>
なお、部位によっては破損しやすい個所がございますので
お取り扱いにはご注意くださいますようお願いいたします。<br>
<br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
    </td>
  </tr>
  <tr>
    <td width=""30%"">素材</td>
    <td>マットコーティングポリカーボネート<br><br>
    表面はサラサラしたマットな質感で、肌触りがよく滑りにくい素材を使用しております。</td>
  </tr>

  <tr><td width=""30%"">カラー</td>
    <td><p>レッド　ピンク ホワイト　ミント　レッドパープル　ブラック/レッド　マルチカラー　スカイブルー
    </p></td>
  </tr>
</table>
<br>



","<br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower01.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower02.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower03.jpg"" alt=""xperia aケース flower case"" width=""100%""><br>
  <table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"">
  <tr><td>商品説明</td>
    <td><p>aquos phone zeta sh-06e フラワーケース</p><br>

    小さな花を摘んだ可愛い花柄ケース。<br>

    ※ aquos phone zeta sh-06e本体は含まれておりません。
    <br><br>
こちらの商品はプリントの過程で小さなスレや印刷のムラ
ケースの中身にまで塗料が入りこんでしまっている場合があります。<br>
使用には問題ございませんので悪しからずご了承ください。<br>
なお、部位によっては破損しやすい個所がございますので
お取り扱いにはご注意くださいますようお願いいたします。<br>
<br>
    ※ 素材や光の具合により、またお客様のページをご覧になられるパソコンの環境により、実際の色味と多少異なって見える場合がございますが、ご了承下さいませ。<br>
    ※ メーカーの都合により、カメラ穴、側面に若干の仕様変更がございますが，予めご了承下さいませ。<br>
    </td>
  </tr>
  <tr>
    <td width=""30%"">素材</td>
    <td>マットコーティングポリカーボネート<br><br>
    表面はサラサラしたマットな質感で、肌触りがよく滑りにくい素材を使用しております。</td>
  </tr>

  <tr><td width=""30%"">カラー</td>
    <td><p>レッド　ピンク ホワイト　ミント　レッドパープル　ブラック/レッド　マルチカラー　スカイブルー
    </p></td>
  </tr>
</table>
<br>



",http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower01.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower02.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aquos-zeta-flower03.jpg,AQUOSPHONEZETASH-06Eケースアクオスフォン花柄フラワーdocomoドコモphonecoverスマートフォンケーススマホケース人気aquos AQUOSPHONEZETASH-06Eケースアクオスフォン花柄フラワーdocomoドコモphonecoverスマートフォンケーススマホケース人気aquos AQUOSPHONEZETASH-06Eケースピエニウニッコカバーマリメッコ柄marimekko柄アクオスフォンフラワーdocomoドコモunikkophonecoverスマートフォンケーススマホケース人気ブランド,,,3,2,,, ,カラー,0,283458-0010001154,0,,,,,,,,,,自動選択,自動選択,自動選択,自動選択,自動選択,2,,
n,aux-cable,AUX-cable,509434,,車や家でスマホの音楽を楽しむ♪持ち運びにとっても便利な巻取り式AUXケーブル,持ち運びにとっても便利な巻取り式AUXケーブル,3.5mm　イヤホンケーブル　AUX cable 巻取り式　ケーブル　iPhone iPad iPod スマートフォン　φ3.5mm端子　Audio出力　カーオーディオ　apple,570,,0,0,,,,0,0,1,1,0,1,0,1,0,"


<p>超コンパクトなすっきりデザイン。車や家でスマホの音楽を楽しむことができます。持ち運びにとっても便利な巻取り式AUXケーブル
■商品仕様
サイズ：横幅：約2.5センチ x 高さ：約11センチ<br>
重量：約11ｇ
ケーブル長：伸長時約77cm
対応機種：3.5mmステレオプラグを搭載したデジタルオーディオ機器
</p>

<br>","超コンパクトなすっきりデザイン。車や家でスマホの音楽を楽しむことができます。持ち運びにとっても便利な巻取り式AUXケーブル
■商品仕様
サイズ：横幅：約2.5センチ x 高さ：約11センチ<br>
重量：約11ｇ
ケーブル長：伸長時約77cm
対応機種：3.5mmステレオプラグを搭載したデジタルオーディオ機器","<br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable01.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
  <img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable02.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable03.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
  <table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"">
  <tr><td>商品説明</td>
    <td><p>超コンパクトなすっきりデザイン。車や家でスマホの音楽を楽しむことができます。<br>
  持ち運びにとっても便利な巻取り式auxケーブル<br />
  サイズ：横幅：約2.5センチ x 高さ：約11センチ<br />
  重量：約11ｇ<br />
  ケーブル長：伸長時約77cm<br />
  対応機種：3.5mmステレオプラグを搭載したデジタルオーディオ機器</p>
    </td>
  </tr>
  <tr><td width=""30%"">カラー</td>
    <td><p>ブラック/ホワイト</p></td>
  </tr>
</table>
<br>
","<br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable01.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
  <img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable02.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable03.jpg"" alt=""巻取り式auxケーブル"" width=""100%""><br>
  <table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"">
  <tr><td>商品説明</td>
    <td><p>超コンパクトなすっきりデザイン。車や家でスマホの音楽を楽しむことができます。<br>
  持ち運びにとっても便利な巻取り式auxケーブル<br />
  サイズ：横幅：約2.5センチ x 高さ：約11センチ<br />
  重量：約11ｇ<br />
  ケーブル長：伸長時約77cm<br />
  対応機種：3.5mmステレオプラグを搭載したデジタルオーディオ機器</p>
    </td>
  </tr>
  <tr><td width=""30%"">カラー</td>
    <td><p>ブラック/ホワイト</p></td>
  </tr>
</table>
<br>
",http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable01.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable02.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/aux-cable03.jpg,3.5mmイヤホンケーブルAUXcable巻取り式ケーブルiPhoneiPadiPodスマートフォンφ3.5mm端子Audio出力カーオーディオapple 3.5mmイヤホンケーブルAUXcable巻取り式ケーブルiPhoneiPadiPodスマートフォンφ3.5mm端子Audio出力カーオーディオapple 3.5mmイヤホンケーブルAUXcable巻取り式ケーブルiPhoneiPadiPodスマートフォンφ3.5mm端子Audio出力カーオーディオapple,,,5,2,,,<br>,カラー,0,283458-0010000704,0,,,,,,,,,,自動選択,自動選択,自動選択,自動選択,自動選択,2,,
n,boris-mobilestand,BORIS-MobileStand,100220,,一生懸命スマホを背負う姿がキュートな実用雑貨！,一生懸命スマホを背負う姿がキュートな実用雑貨！,iphoneスタンド スマホスタンド cell mate Boris 人形　プラスチック　充電ホルダー コードホルダー,934,,0,0,,,,0,0,1,1,0,1,0,1,0,"<p style=""font-size:85%; line-height:1.6; padding:0.5em; border:1px solid #CCC; width:400px;"">

＜スマホスタンド&quot;Cell mate Boris&quot;の詳細＞ <br>
  ユニークなデザインの人形が健気に大きなスマホを背負う姿がかわいいスマホスタンド。<br>
  デザインだけではなくコードホルダーとして充電ケーブルをすっきりと収納することが出来てさらに手の部分にコードを通すことも可能です。<br>
  思わずホッコリしてしまうゆるい感じのスマホスタンドで癒されませんか？<br>
<br>
＜サイズ＞<br>
台座部分：幅：6cm&times;10cm　高さ：1.8cm<br>
スタンド部分：人形本体高さ：11cm　スマホ設置部：4cm&times;7.5cm<br>
<br>
＜ご注意＞<br>
ご使用の際はスタンド中央にスマートフォンを配置してください。<br>
使用上の不備による破損などについては弊社が責任を取りかねますのでご了承ください。

</p>

","＜スマホスタンド&quot;Cell mate Boris&quot;の詳細＞ <br>
  ユニークなデザインの人形が健気に大きなスマホを背負う姿がかわいいスマホスタンド。<br>
  デザインだけではなくコードホルダーとして充電ケーブルをすっきりと収納することが出来てさらに手の部分にコードを通すことも可能です。<br>
  思わずホッコリしてしまうゆるい感じのスマホスタンドで癒されませんか？<br>
<br>
＜サイズ＞<br>
台座部分：幅：6cm&times;10cm　高さ：1.8cm<br>
スタンド部分：人形本体高さ：11cm　スマホ設置部：4cm&times;7.5cm<br>
<br>
＜ご注意＞<br>
ご使用の際はスタンド中央にスマートフォンを配置してください。<br>
使用上の不備による破損などについては弊社が責任を取りかねますのでご了承ください。","<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand01.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand02.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand03.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>＜スマホスタンド&quot;cell mate boris&quot;の詳細＞ <br>
  ユニークなデザインの人形が健気に大きなスマホを背負う姿がかわいいスマホスタンド。<br>
  デザインだけではなくコードホルダーとして充電ケーブルをすっきりと収納することが出来てさらに手の部分にコードを通すことも可能です。<br>
  思わずホッコリしてしまうゆるい感じのスマホスタンドで癒されませんか？<br>
<br>
＜サイズ＞<br>
台座部分：幅：6cm&times;10cm　高さ：1.8cm<br>
スタンド部分：人形本体高さ：11cm　スマホ設置部：4cm&times;7.5cm<br>
<br>
＜ご注意＞<br>
ご使用の際はスタンド中央にスマートフォンを配置してください。<br>
使用上の不備による破損などについては弊社が責任を取りかねますのでご了承ください。
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""2"" bgcolor=""#999999"">
  <tr>
    <td bgcolor=""#ffffff"" align=""center"" valign=""middle""><p><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/c/0000000105/""><font size=""4"">バッテリー充電<br>
      ケーブル一覧</font></a></p></td>
  </tr>
</table>","<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand01.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand02.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>
<img src=""http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand03.jpg"" alt=""iphoneスタンド boris"" width=""100%""><br>＜スマホスタンド&quot;cell mate boris&quot;の詳細＞ <br>
  ユニークなデザインの人形が健気に大きなスマホを背負う姿がかわいいスマホスタンド。<br>
  デザインだけではなくコードホルダーとして充電ケーブルをすっきりと収納することが出来てさらに手の部分にコードを通すことも可能です。<br>
  思わずホッコリしてしまうゆるい感じのスマホスタンドで癒されませんか？<br>
<br>
＜サイズ＞<br>
台座部分：幅：6cm&times;10cm　高さ：1.8cm<br>
スタンド部分：人形本体高さ：11cm　スマホ設置部：4cm&times;7.5cm<br>
<br>
＜ご注意＞<br>
ご使用の際はスタンド中央にスマートフォンを配置してください。<br>
使用上の不備による破損などについては弊社が責任を取りかねますのでご了承ください。
<table width=""100%"" border=""0"" cellspacing=""1"" cellpadding=""2"" bgcolor=""#999999"">
  <tr>
    <td bgcolor=""#ffffff"" align=""center"" valign=""middle""><p><a href=""http://item.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/c/0000000105/""><font size=""4"">バッテリー充電<br>
      ケーブル一覧</font></a></p></td>
  </tr>
</table>",http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand01.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand02.jpg http://image.rakuten.co.jp/＝＝＝＝貴店URL＝＝＝＝/cabinet/sumahoya/boris-mobilestand03.jpg,iphoneスタンドスマホスタンドcellmateBoris人形プラスチック充電ホルダーコードホルダー iphoneスタンドスマホスタンドcellmateBoris人形プラスチック充電ホルダーコードホルダー iphoneスタンドスマホスタンドcellmateBoris人形プラスチック充電ホルダーコードホルダー,,,5,2,,,<br>,カラー,0,283458-0010000705,0,,,,,,,,,,自動選択,自動選択,自動選択,自動選択,自動選択,2,,
